N,P,K,temperature,humidity,ph,rainfall,label
87.86,6,36,31.16085397591439,73.2541642433263,8.371057112001523,1.88,banana
50.0,103,138,19.713716343584085,46.57231107424394,7.2548306573048595,2.28,wheat
76.43,115,186,43.45392849383569,44.73248380077646,8.900949137721799,6.4,sugarcane
70.71,38,60,32.57711740668471,19.010997256662705,5.216870026180937,2.95,coffee
30.0,40,82,31.96808858871124,78.0942849685666,5.20005602013293,10.17,rice
19.29,58,142,35.234977968340125,57.45345716217411,5.898218357964164,5.49,barley
52.86,107,49,44.96200556179075,16.99291304582647,6.563346848060901,6.84,wheat
86.43,27,196,28.154158215920813,56.419923582421006,7.448483942243003,4.38,rice
88.57,35,68,31.164003382387005,65.04100946604538,5.862252160278253,6.89,millet
59.29,28,129,44.78311192959099,17.77940827042216,5.330835529578112,2.47,coffee
43.57,51,200,38.41706428770553,49.49389042692259,8.020799678668148,7.53,millet
73.57,61,118,36.978925085706855,50.89552099950926,3.715498385279262,7.09,coffee
61.43,133,134,27.065123486338216,44.24011858733306,3.6054867713120866,4.45,tea
12.14,27,55,39.881468051960525,60.094916673522754,4.938531115113298,3.66,coffee
71.43,17,101,22.634422650753542,18.529745308501695,5.941491884159888,6.14,wheat
7.86,7,13,14.24992163932092,25.816965800467997,6.647914825148559,8.69,wheat
42.86,144,132,21.395148255100487,46.42733918106895,5.406174846333762,3.1,wheat
25.0,27,196,29.532569037757938,73.95305335368101,8.810142833390579,3.33,banana
28.57,13,47,15.725735925584587,11.83330324170039,8.79366519462727,1.43,wheat
14.29,64,45,22.29457587358779,83.81555407295546,6.162565290337621,9.21,millet
63.57,19,192,27.1390832104698,47.205818011625446,5.322993101034051,1.63,wheat
40.71,29,74,15.983153464823639,52.63178441163099,4.923086670117667,3.46,barley
93.57,80,161,11.481564312758607,71.09768176914216,3.5395335061793434,6.46,banana
50.71,33,196,40.46181679167429,20.60818889671272,7.966569796566509,7.4,millet
90.71,139,80,29.186778310301825,71.21052980410121,5.859511622066439,3.65,rice
