N,P,K,temperature,humidity,ph,rainfall,label
97,41,34,15.262893473443938,57.2665621404704,6.6082948285249925,44.70495673465599,barley
94,59,46,16.520198264362318,69.970298473046,6.668596099083707,65.42817545006434,wheat
58,34,18,25.725370678578358,44.97522334987124,6.8488402413819465,53.20890818124667,millet
51,22,19,20.311419430137157,45.65059779026926,5.856368233800273,56.640251250408156,millet
65,41,30,29.383486567573456,64.25423939486218,7.3287676045495305,122.56831945589094,maize
89,28,33,26.44414097,53.83876189,6.9932360010000005,175.3723314,coffee
44,22,19,20.08372056150066,50.577713228121986,5.6737894260560156,45.990249950004866,millet
62,30,39,25.674526989126285,62.261099868135595,6.9199294129731115,104.89394486935348,maize
44,39,20,29.52397831745543,50.0174486794552,6.973962137597914,69.27675380146758,millet
90,47,39,15.145335892760674,79.19202586213731,6.037265755013156,111.38176736755484,wheat
118,41,30,33.42346990114865,84.6328250883517,5.686663693638849,191.3283246470835,rice
76,39,29,19.008180835685504,54.48990085467368,6.556689787903499,39.30562726005739,barley
73,42,25,21.13402921733794,50.70358248564866,6.928624682633584,70.51744130516158,barley
42,37,19,30.85808973884418,41.13721423629173,5.991013935147864,44.46821437246073,millet
97,43,46,19.456175093461244,71.68543485909015,7.3104820239915,54.696653965129904,wheat
111,56,44,15.382723077604457,61.51724061766063,6.567253424917011,56.83900452678837,wheat
88,37,31,21.869979347056905,83.07747672872546,5.753561622570263,180.45730196668308,rice
32,41,16,28.63618921,61.39451307,7.702287236,68.54877876,mothbeans
29,11,5,23.13338811,91.94670335,7.639788459,104.4224145,orange
79,40,21,18.21990058063954,60.60567668869567,6.721736717096992,53.52238688696966,maize
77,35,21,21.48562233226536,71.0055337104239,5.505068914207767,109.1377387510949,maize
64,39,20,30.20851779433351,54.73921866394735,6.9656740742187475,74.60601230598735,millet
100,50,36,21.479632679513234,68.27759646339688,6.226337724525944,80.0542354436276,wheat
109,56,36,21.93910736046204,78.11918042896035,6.260109316402182,52.29977273354713,wheat
100,43,40,18.510379448324002,63.33989333217922,6.171286163315521,119.17189502486596,wheat
108,52,38,16.58606010240119,78.8778939300058,7.372221247350044,99.51932308437728,wheat
90,50,49,11.336845556285898,70.07879593196844,6.093481954086624,107.5814325073012,wheat
88,37,35,27.015612999259556,79.48913142917044,6.009983741714045,102.97326486261593,maize
106,37,34,31.53508271284997,80.876822032209,5.676605502032061,115.2771516487269,rice
48,35,24,27.17963373555601,40.31409694684107,6.852031376398929,49.63587929556183,millet
47,39,26,32.59108960205897,40.52421263868413,5.714519473179122,65.38191681110555,millet
107,35,37,24.192177221826313,87.52616066383558,5.785974638518361,207.52514816312384,rice
118,88,51,25.44926208,79.49221962,6.201911642000001,100.6619171,banana
83,43,33,23.048255913086653,79.36503895514153,5.651099844088341,130.81775735157342,rice
112,39,29,26.12492233,63.37479229,6.726528895,147.8035305,coffee
45,22,21,27.490831705311187,49.17561386132918,6.76937161795713,63.45715528945195,millet
103,38,35,30.94558667803671,78.13921554654404,5.727473197321789,154.1925476693407,rice
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,chickpea
68,32,27,20.013827567971767,45.91831249137633,5.86544986695183,48.70877839729272,millet
103,41,42,13.539407340596968,69.35919014232863,7.198312582674529,88.11698239863966,wheat
86,34,24,19.201822213357595,78.45024809372676,5.816764254004271,65.41807070678061,maize
94,30,32,29.284409855968462,86.27964786550089,6.238074918536059,151.6272579598704,rice
93,44,31,28.592474067025677,84.7146278399859,6.929291085639914,219.3418239893009,rice
9,29,34,29.38471637,45.88744691,5.72742254,100.8124659,mango
54,33,33,20.651297489582987,41.49712163302388,5.768564734875832,40.937562007676114,millet
50,28,25,33.74617571156876,40.113702836088144,6.007131117203058,65.54209740940237,millet
42,20,28,30.366198957610088,55.40063188607343,6.702622270692314,52.25318080811739,millet
84,36,39,22.1716007228344,70.48179265931776,6.307683418876202,78.13134453512075,maize
115,39,39,30.057442386385254,75.49387049550033,6.9238104863361265,204.43244695220633,rice
41,24,34,33.531744888986154,47.84656354989335,6.142988079995206,71.34495052052894,millet
69,32,30,22.328544218911723,78.54087684275932,6.34082916073991,127.30898342123844,maize
68,39,26,27.661271397447013,68.1677732024376,6.173335365098174,144.46402994041688,maize
72,41,39,23.965533312938064,78.89509217314503,6.348560965397376,125.10657114178095,maize
70,31,33,17.195670502761395,61.95255443063015,6.585429786225946,62.682495355015064,barley
54,28,34,30.976030012150794,59.70539112962174,6.885238370458306,67.09810681545105,millet
97,35,39,31.917888939235823,78.12623940952773,6.90324073672804,223.12701456014605,rice
1,76,19,24.18553163,46.68746847,6.6695294160000005,177.3377996,pigeonpeas
87,38,30,18.683074284535,56.06114546904526,6.066568590259253,50.106494878072006,barley
79,42,36,24.03460953441273,72.7824547745376,6.807437652764504,87.37545806106559,maize
56,32,25,20.956765029749995,56.38020610166281,6.744580379007155,48.527152581205584,millet
13,126,204,23.1094265,92.79630809,6.3831802710000005,108.183792,apple
80,46,25,28.780909189519264,77.03520453590184,7.3080084446144955,76.14626529804042,maize
61,36,21,20.67199740892442,48.56459663055159,5.594288631684453,62.90111976740138,millet
62,42,20,18.52420986643266,71.35477124755192,6.345780940711071,128.49788477790747,maize
115,56,40,10.765161096978913,76.83069762950137,7.343692242045007,55.506725492852325,wheat
13,74,25,24.12192608,61.09533545,6.461618577,44.23629285,lentil
96,55,40,22.824549276742555,78.03388886316066,7.388764220984612,62.64796543979945,wheat
90,36,28,16.016351972220903,64.10254987434345,7.368892339551195,63.14936515618329,barley
73,30,26,23.186518627084144,55.31984477455623,6.09863920184631,72.51599171178286,barley
60,34,24,27.98021329323525,75.47526999937978,5.579634899790576,114.24279585257491,maize
87,40,38,33.710933617279196,88.19184680405368,6.15121604536869,173.85339680745716,rice
54,23,23,32.58853136393865,51.883307165985,5.790459936454694,66.56948926778274,millet
15,123,204,22.52709326,92.54780429,6.365972687999999,115.3830068,apple
70,41,24,21.087901133456686,70.04783079164548,5.6978983032229165,140.3265529780855,maize
115,55,35,13.612265723101942,65.54096470797477,7.051849780860217,59.298073650694604,wheat
88,50,40,25.63215038,79.95150917,7.0518224720000005,182.2582277,jute
80,41,32,20.015394008411025,64.45570512184129,6.868065354178826,67.0285837391963,barley
102,41,36,35.307620640400174,77.2396839333671,6.930871976123906,129.56603541181153,rice
46,23,24,23.385467840820382,50.679134601779005,6.223120474591145,74.99152262683465,millet
83,41,25,19.023559718169725,60.35208337142645,6.375243820463668,91.55946442222941,maize
86,45,27,25.68551904580451,75.48452519061522,6.860103181895438,112.75726855282178,maize
98,43,36,17.8739344623203,76.32873119338089,6.230470083007142,117.5909096725852,wheat
82,41,27,17.570453621646028,68.00469836909225,7.006969476731792,45.605187637015,barley
48,25,27,25.28776627157163,53.37227573745889,5.673422604902932,64.33168031514084,millet
100,38,32,24.938793437154764,73.26392591594318,6.871611102466742,106.53276692317331,rice
76,44,29,23.674272832123542,63.847075369852476,6.761642369889179,57.86583536865798,barley
